conv_index	question_id	time	label
0	5941	Mar 10, 2018 1:07:57 PM	41
0	3480	Mar 10, 2018 1:08:11 PM	66
0	11621	Mar 10, 2018 1:08:19 PM	153
0	10003	Mar 10, 2018 1:08:32 PM	238
0	19042	Mar 10, 2018 1:08:40 PM	329
1	35315	Mar 10, 2018 9:45:00 AM	367
1	30292	Mar 10, 2018 9:45:25 AM	21
1	9354	Mar 10, 2018 9:46:00 AM	367
2	23895	Mar 10, 2018 9:38:24 AM	31
2	15133	Mar 10, 2018 9:38:38 AM	152
2	22755	Mar 10, 2018 9:39:24 AM	7
3	32725	Mar 10, 2018 10:37:04 PM	36
3	22766	Mar 10, 2018 10:37:43 PM	272
4	18677	Mar 10, 2018 8:46:13 PM	319
4	27466	Mar 10, 2018 8:46:27 PM	129
5	30383	Mar 10, 2018 9:03:20 AM	367
5	21328	Mar 10, 2018 9:03:52 AM	297
5	38410	Mar 10, 2018 9:04:10 AM	21
5	29680	Mar 10, 2018 9:04:33 AM	155
6	24068	Mar 10, 2018 1:59:06 PM	217
6	450	Mar 10, 2018 1:59:14 PM	217
6	18500	Mar 10, 2018 1:59:26 PM	217
6	11749	Mar 10, 2018 1:59:37 PM	66
7	34732	Mar 10, 2018 7:50:13 PM	223
7	20359	Mar 10, 2018 7:50:18 PM	222
7	9897	Mar 10, 2018 7:51:50 PM	305
8	13611	Mar 10, 2018 10:13:45 PM	268
8	22094	Mar 10, 2018 10:14:30 PM	73
9	28335	Mar 10, 2018 8:28:06 AM	319
9	23916	Mar 10, 2018 8:28:16 AM	319
9	24236	Mar 10, 2018 8:30:03 AM	285
9	8828	Mar 10, 2018 8:30:15 AM	305
9	19773	Mar 10, 2018 8:30:57 AM	186
9	17823	Mar 10, 2018 8:31:13 AM	99
10	32922	Mar 10, 2018 5:35:53 PM	260
10	2326	Mar 10, 2018 5:36:06 PM	13
11	40026	Mar 10, 2018 7:07:48 PM	124
11	29812	Mar 10, 2018 7:07:56 PM	71
11	42742	Mar 10, 2018 7:08:03 PM	129
12	8035	Mar 10, 2018 1:07:15 PM	268
12	37727	Mar 10, 2018 1:08:04 PM	268
13	20095	Mar 10, 2018 12:21:08 AM	21
13	11543	Mar 10, 2018 12:21:38 AM	91
13	8340	Mar 10, 2018 12:22:02 AM	268
13	9281	Mar 10, 2018 12:23:12 AM	94
13	33463	Mar 10, 2018 12:23:49 AM	42
13	24233	Mar 10, 2018 12:23:59 AM	194
13	31883	Mar 10, 2018 12:24:11 AM	160
13	38554	Mar 10, 2018 12:24:20 AM	292
13	41458	Mar 10, 2018 12:24:32 AM	361
14	35187	Mar 10, 2018 9:46:55 AM	319
14	10435	Mar 10, 2018 9:48:02 AM	329
14	32269	Mar 10, 2018 9:48:47 AM	329
14	29296	Mar 10, 2018 9:49:29 AM	149
14	6264	Mar 10, 2018 9:49:58 AM	329
14	9882	Mar 10, 2018 9:50:08 AM	272
14	25600	Mar 10, 2018 9:51:45 AM	186
14	25583	Mar 10, 2018 9:52:45 AM	186
15	22382	Mar 10, 2018 2:52:02 PM	280
15	3666	Mar 10, 2018 2:52:12 PM	269
15	31079	Mar 10, 2018 2:52:17 PM	253
16	10079	Mar 10, 2018 10:09:44 AM	124
16	32695	Mar 10, 2018 10:09:49 AM	260
17	23112	Mar 10, 2018 11:07:53 PM	170
17	8686	Mar 10, 2018 11:08:05 PM	170
18	15339	Mar 10, 2018 1:13:43 PM	268
18	22380	Mar 10, 2018 1:14:03 PM	153
18	4993	Mar 10, 2018 1:14:16 PM	125
19	9297	Mar 10, 2018 10:27:08 AM	161
19	37654	Mar 10, 2018 10:27:42 AM	110
19	23676	Mar 10, 2018 10:27:52 AM	125
19	19436	Mar 10, 2018 10:28:00 AM	329
19	5078	Mar 10, 2018 10:28:04 AM	186
20	27771	Mar 10, 2018 8:59:31 PM	367
20	22558	Mar 10, 2018 8:59:53 PM	80
20	21466	Mar 10, 2018 9:00:05 PM	297
21	3162	Mar 10, 2018 3:28:39 PM	175
21	17365	Mar 10, 2018 3:29:03 PM	93
22	3411	Mar 10, 2018 6:43:19 PM	91
22	14772	Mar 10, 2018 6:44:12 PM	319
22	19067	Mar 10, 2018 6:47:59 PM	319
22	36724	Mar 10, 2018 6:48:29 PM	319
22	2539	Mar 10, 2018 6:49:46 PM	153
22	34307	Mar 10, 2018 6:51:05 PM	272
23	34691	Mar 10, 2018 9:22:59 AM	99
23	28979	Mar 10, 2018 9:23:11 AM	369
23	37483	Mar 10, 2018 9:23:27 AM	93
23	15899	Mar 10, 2018 9:23:44 AM	188
23	37920	Mar 10, 2018 9:23:50 AM	62
23	33097	Mar 10, 2018 9:23:55 AM	22
23	22903	Mar 10, 2018 9:24:01 AM	110
23	30237	Mar 10, 2018 9:24:05 AM	237
24	38452	Mar 10, 2018 5:18:35 PM	21
24	17796	Mar 10, 2018 5:19:21 PM	367
25	29939	Mar 10, 2018 5:19:28 PM	216
25	28216	Mar 10, 2018 5:19:44 PM	280
25	8854	Mar 10, 2018 5:19:50 PM	253
25	36633	Mar 10, 2018 5:19:54 PM	68
26	32469	Mar 10, 2018 3:55:08 PM	110
26	18203	Mar 10, 2018 3:55:23 PM	22
26	43773	Mar 10, 2018 3:55:26 PM	161
27	23699	Mar 10, 2018 11:57:27 PM	21
27	42824	Mar 10, 2018 11:57:49 PM	153
27	10465	Mar 10, 2018 11:58:31 PM	110
28	16250	Mar 10, 2018 6:07:24 PM	261
28	25110	Mar 10, 2018 6:07:32 PM	268
28	4234	Mar 10, 2018 6:08:36 PM	217
28	16940	Mar 10, 2018 6:09:02 PM	263
28	17660	Mar 10, 2018 6:09:12 PM	153
28	12960	Mar 10, 2018 6:09:28 PM	66
28	30851	Mar 10, 2018 6:09:50 PM	349
28	30232	Mar 10, 2018 6:10:45 PM	217
28	8310	Mar 10, 2018 6:11:08 PM	126
28	30020	Mar 10, 2018 6:11:18 PM	43
29	15279	Mar 10, 2018 5:21:23 PM	68
29	5887	Mar 10, 2018 5:21:55 PM	268
29	6184	Mar 10, 2018 5:22:23 PM	253
29	16424	Mar 10, 2018 5:22:30 PM	163
30	1986	Mar 10, 2018 4:18:53 PM	361
30	3548	Mar 10, 2018 4:18:57 PM	42
31	15369	Mar 10, 2018 9:38:53 PM	272
31	28143	Mar 10, 2018 9:38:57 PM	369
31	11657	Mar 10, 2018 9:38:58 PM	91
31	30508	Mar 10, 2018 9:39:00 PM	99
32	148	Mar 10, 2018 6:53:42 PM	91
32	29520	Mar 10, 2018 6:54:04 PM	206
32	26260	Mar 10, 2018 6:55:06 PM	227
33	9413	Mar 10, 2018 9:18:30 AM	319
33	18336	Mar 10, 2018 9:18:48 AM	319
33	31928	Mar 10, 2018 9:18:58 AM	155
34	2853	Mar 10, 2018 8:43:11 AM	21
34	21429	Mar 10, 2018 8:44:28 AM	217
34	43691	Mar 10, 2018 8:45:45 AM	152
34	28605	Mar 10, 2018 8:45:55 AM	261
35	36346	Mar 10, 2018 11:42:47 AM	125
35	11120	Mar 10, 2018 11:42:59 AM	22
36	36821	Mar 10, 2018 3:44:28 PM	155
36	5229	Mar 10, 2018 3:47:02 PM	308
37	43967	Mar 10, 2018 9:29:27 AM	105
37	30276	Mar 10, 2018 9:29:37 AM	263
37	20263	Mar 10, 2018 9:29:44 AM	349
37	3439	Mar 10, 2018 9:30:04 AM	362
37	29642	Mar 10, 2018 9:30:31 AM	105
38	31085	Mar 10, 2018 11:36:25 AM	108
38	35671	Mar 10, 2018 11:36:31 AM	26
38	2879	Mar 10, 2018 11:36:47 AM	26
39	13038	Mar 10, 2018 8:56:05 PM	73
39	20792	Mar 10, 2018 8:57:18 PM	353
39	35554	Mar 10, 2018 8:58:42 PM	308
39	17553	Mar 10, 2018 8:58:57 PM	223
39	1440	Mar 10, 2018 8:59:02 PM	340
39	5853	Mar 10, 2018 8:59:06 PM	340
39	17947	Mar 10, 2018 9:00:13 PM	223
39	3408	Mar 10, 2018 9:00:38 PM	223
39	9839	Mar 10, 2018 9:00:41 PM	193
39	32002	Mar 10, 2018 9:00:47 PM	54
39	43938	Mar 10, 2018 9:00:54 PM	319
39	23519	Mar 10, 2018 9:00:59 PM	340
39	28397	Mar 10, 2018 9:01:03 PM	340
39	3950	Mar 10, 2018 9:01:08 PM	319
39	33964	Mar 10, 2018 9:01:12 PM	319
39	16448	Mar 10, 2018 9:01:15 PM	149
39	16583	Mar 10, 2018 9:01:18 PM	149
39	20619	Mar 10, 2018 9:01:24 PM	319
40	28938	Mar 10, 2018 9:03:09 AM	319
40	11800	Mar 10, 2018 9:03:17 AM	319
40	17715	Mar 10, 2018 9:03:34 AM	182
40	5746	Mar 10, 2018 9:04:20 AM	319
41	6551	Mar 10, 2018 6:17:17 PM	149
41	33544	Mar 10, 2018 6:17:27 PM	155
42	2863	Mar 10, 2018 10:56:12 AM	367
42	40837	Mar 10, 2018 10:56:45 AM	297
43	12844	Mar 10, 2018 10:39:19 PM	146
43	38739	Mar 10, 2018 10:39:25 PM	126
43	2485	Mar 10, 2018 10:39:57 PM	146
43	29776	Mar 10, 2018 10:40:01 PM	146
43	40345	Mar 10, 2018 10:40:09 PM	146
44	42103	Mar 10, 2018 11:32:44 AM	258
44	29362	Mar 10, 2018 11:33:19 AM	41
44	28604	Mar 10, 2018 11:33:27 AM	280
44	25261	Mar 10, 2018 11:36:41 AM	258
45	37000	Mar 10, 2018 1:22:13 PM	319
45	10254	Mar 10, 2018 1:22:23 PM	367
45	26876	Mar 10, 2018 1:23:14 PM	80
45	25341	Mar 10, 2018 1:23:26 PM	224
45	23212	Mar 10, 2018 1:23:34 PM	89
46	13278	Mar 10, 2018 3:31:03 PM	72
46	34007	Mar 10, 2018 3:31:31 PM	253
46	7155	Mar 10, 2018 3:32:18 PM	125
46	40279	Mar 10, 2018 3:32:40 PM	149
47	5614	Mar 10, 2018 12:03:34 PM	221
47	21096	Mar 10, 2018 12:03:49 PM	222
48	6556	Mar 10, 2018 11:02:46 AM	155
48	30603	Mar 10, 2018 11:47:49 AM	99
48	21049	Mar 10, 2018 12:29:02 PM	99
48	37232	Mar 10, 2018 12:33:32 PM	155
49	16567	Mar 10, 2018 11:12:15 AM	72
49	36614	Mar 10, 2018 11:12:46 AM	223
50	37867	Mar 10, 2018 10:08:55 PM	91
50	28151	Mar 10, 2018 10:08:59 PM	369
50	43756	Mar 10, 2018 10:09:43 PM	206
50	25785	Mar 10, 2018 10:10:26 PM	340
50	26405	Mar 10, 2018 10:10:34 PM	340
51	14640	Mar 10, 2018 2:23:34 PM	72
51	37332	Mar 10, 2018 2:23:58 PM	93
52	42985	Mar 10, 2018 1:22:12 PM	268
52	23310	Mar 10, 2018 1:22:20 PM	94
53	543	Mar 10, 2018 10:58:30 AM	268
53	36792	Mar 10, 2018 10:58:53 AM	319
54	2409	Mar 10, 2018 2:07:36 AM	280
54	18676	Mar 10, 2018 2:08:12 AM	73
55	25792	Mar 10, 2018 8:09:01 PM	367
55	38330	Mar 10, 2018 8:09:36 PM	80
55	34643	Mar 10, 2018 8:09:54 PM	155
56	20185	Mar 10, 2018 2:27:36 PM	367
56	16861	Mar 10, 2018 2:27:43 PM	36
56	39721	Mar 10, 2018 2:27:56 PM	211
56	1738	Mar 10, 2018 2:28:04 PM	272
56	26861	Mar 10, 2018 2:28:05 PM	62
56	34674	Mar 10, 2018 2:28:07 PM	22
57	19955	Mar 10, 2018 7:48:07 AM	73
57	19946	Mar 10, 2018 7:48:17 AM	268
57	18671	Mar 10, 2018 7:48:25 AM	253
58	11728	Mar 10, 2018 10:04:31 AM	238
58	17459	Mar 10, 2018 8:48:17 AM	63
58	33848	Mar 10, 2018 8:48:34 AM	329
59	27551	Mar 10, 2018 3:27:34 AM	72
59	21854	Mar 10, 2018 3:27:40 AM	149
59	10688	Mar 10, 2018 3:27:57 AM	94
59	10546	Mar 10, 2018 3:28:06 AM	268
59	29045	Mar 10, 2018 3:28:13 AM	253
59	20754	Mar 10, 2018 3:28:43 AM	41
60	14423	Mar 10, 2018 12:59:35 PM	369
60	41001	Mar 10, 2018 1:02:33 PM	319
60	36375	Mar 10, 2018 1:03:34 PM	369
61	20374	Mar 10, 2018 12:55:28 PM	72
61	26355	Mar 10, 2018 12:55:47 PM	110
61	27913	Mar 10, 2018 12:56:03 PM	224
61	43185	Mar 10, 2018 12:56:16 PM	272
62	15098	Mar 10, 2018 4:11:46 PM	46
62	16164	Mar 10, 2018 4:12:39 PM	253
62	639	Mar 10, 2018 4:12:51 PM	168
62	2174	Mar 10, 2018 4:12:59 PM	308
63	28503	Mar 10, 2018 5:49:10 PM	7
63	5129	Mar 10, 2018 5:49:14 PM	152
63	29386	Mar 10, 2018 5:49:16 PM	21
63	38758	Mar 10, 2018 5:49:17 PM	329
63	20496	Mar 10, 2018 5:49:29 PM	261
64	14480	Mar 10, 2018 8:41:55 AM	223
64	4715	Mar 10, 2018 8:42:31 AM	343
65	30177	Mar 10, 2018 10:25:15 PM	91
65	36922	Mar 10, 2018 10:25:39 PM	256
66	22025	Mar 10, 2018 1:47:09 AM	237
66	40873	Mar 10, 2018 1:47:27 AM	237
66	41086	Mar 10, 2018 1:47:45 AM	374
67	40614	Mar 10, 2018 10:24:55 PM	328
67	25046	Mar 10, 2018 10:25:14 PM	99
67	43280	Mar 10, 2018 10:25:29 PM	75
67	245	Mar 10, 2018 10:25:48 PM	369
68	19215	Mar 10, 2018 3:54:39 AM	149
68	13524	Mar 10, 2018 3:54:49 AM	253
68	26377	Mar 10, 2018 3:54:58 AM	253
69	35170	Mar 10, 2018 4:32:57 PM	72
69	21477	Mar 10, 2018 4:33:21 PM	343
69	10940	Mar 10, 2018 4:33:32 PM	46
70	39706	Mar 10, 2018 2:39:26 PM	72
70	7764	Mar 10, 2018 2:39:43 PM	261
70	30983	Mar 10, 2018 2:40:38 PM	72
70	10684	Mar 10, 2018 2:41:05 PM	261
71	33553	Mar 10, 2018 12:56:42 AM	194
71	32552	Mar 10, 2018 12:57:08 AM	160
72	604	Mar 10, 2018 9:04:11 AM	319
72	29612	Mar 10, 2018 9:04:18 AM	319
72	41621	Mar 10, 2018 9:04:32 AM	319
72	4664	Mar 10, 2018 9:04:39 AM	319
72	15826	Mar 10, 2018 9:05:02 AM	149
72	34774	Mar 10, 2018 9:05:12 AM	130
72	1546	Mar 10, 2018 9:07:10 AM	319
72	28302	Mar 10, 2018 9:07:22 AM	54
72	4717	Mar 10, 2018 9:07:34 AM	319
72	26846	Mar 10, 2018 9:07:57 AM	179
72	30317	Mar 10, 2018 9:08:10 AM	98
73	31456	Mar 10, 2018 9:43:14 AM	319
73	33733	Mar 10, 2018 9:43:19 AM	155
73	43028	Mar 10, 2018 9:51:52 AM	155
73	13617	Mar 10, 2018 9:52:48 AM	155
74	29355	Mar 10, 2018 10:35:04 AM	94
74	38959	Mar 10, 2018 10:38:21 AM	89
74	34372	Mar 10, 2018 10:39:57 AM	149
75	6037	Mar 10, 2018 9:22:40 PM	92
75	16246	Mar 10, 2018 9:22:48 PM	124
75	22008	Mar 10, 2018 9:22:56 PM	129
76	31886	Mar 10, 2018 9:13:46 AM	124
76	19126	Mar 10, 2018 9:13:58 AM	36
77	30609	Mar 10, 2018 10:29:12 PM	42
77	14499	Mar 10, 2018 10:29:32 PM	160
77	39504	Mar 10, 2018 10:29:44 PM	361
77	25885	Mar 10, 2018 10:29:50 PM	63
77	30201	Mar 10, 2018 10:29:57 PM	217
78	25794	Mar 10, 2018 6:54:38 PM	149
78	34023	Mar 10, 2018 6:54:43 PM	73
78	37834	Mar 10, 2018 6:55:00 PM	41
79	19400	Mar 10, 2018 10:56:28 AM	168
79	28992	Mar 10, 2018 10:56:40 AM	199
79	12546	Mar 10, 2018 10:57:02 AM	149
79	23413	Mar 10, 2018 10:57:09 AM	84
79	17779	Mar 10, 2018 10:57:32 AM	199
80	6922	Mar 10, 2018 9:47:31 PM	155
80	30779	Mar 10, 2018 9:48:14 PM	155
81	7365	Mar 10, 2018 4:54:01 PM	308
81	35224	Mar 10, 2018 4:54:20 PM	46
82	18870	Mar 10, 2018 9:51:03 AM	26
82	841	Mar 10, 2018 9:51:14 AM	73
82	38006	Mar 10, 2018 9:51:41 AM	73
83	10104	Mar 10, 2018 5:22:20 PM	319
83	25630	Mar 10, 2018 5:22:35 PM	36
84	16133	Mar 10, 2018 6:56:03 PM	72
84	28457	Mar 10, 2018 6:56:29 PM	16
84	8864	Mar 10, 2018 6:57:41 PM	16
85	32029	Mar 10, 2018 5:28:56 PM	168
85	573	Mar 10, 2018 5:28:56 PM	168
85	10647	Mar 10, 2018 5:29:12 PM	223
85	43158	Mar 10, 2018 5:29:27 PM	84
85	37341	Mar 10, 2018 5:29:55 PM	328
85	5656	Mar 10, 2018 5:30:40 PM	223
86	34687	Mar 10, 2018 10:16:10 PM	329
86	34060	Mar 10, 2018 10:16:29 PM	155
87	817	Mar 10, 2018 12:19:11 PM	149
87	14222	Mar 10, 2018 12:19:39 PM	253
88	20886	Mar 10, 2018 9:55:30 PM	369
88	40145	Mar 10, 2018 9:55:41 PM	91
89	40610	Mar 10, 2018 3:08:54 PM	367
89	29581	Mar 10, 2018 3:09:15 PM	304
89	28574	Mar 10, 2018 3:09:38 PM	80
89	19819	Mar 10, 2018 3:09:57 PM	367
89	7021	Mar 10, 2018 3:10:14 PM	224
89	3022	Mar 10, 2018 3:10:30 PM	304
89	33178	Mar 10, 2018 3:11:09 PM	93
89	13102	Mar 10, 2018 3:11:41 PM	272
89	7595	Mar 10, 2018 3:11:55 PM	224
89	19385	Mar 10, 2018 3:12:26 PM	80
89	2390	Mar 10, 2018 3:12:52 PM	268
90	31645	Mar 10, 2018 8:34:25 PM	367
90	43322	Mar 10, 2018 8:34:38 PM	297
90	9597	Mar 10, 2018 8:34:45 PM	367
90	14017	Mar 10, 2018 8:35:07 PM	367
91	40764	Mar 10, 2018 12:23:35 PM	75
91	37054	Mar 10, 2018 12:23:39 PM	99
91	18322	Mar 10, 2018 12:23:47 PM	369
91	39421	Mar 10, 2018 12:23:56 PM	206
91	26976	Mar 10, 2018 12:24:13 PM	319
92	20337	Mar 10, 2018 7:24:52 AM	367
92	40419	Mar 10, 2018 7:25:27 AM	63
92	14487	Mar 10, 2018 7:25:57 AM	319
93	3591	Mar 10, 2018 9:55:54 PM	353
93	27639	Mar 10, 2018 9:56:16 PM	41
93	32458	Mar 10, 2018 9:56:34 PM	222
93	2152	Mar 10, 2018 9:56:38 PM	168
93	33359	Mar 10, 2018 9:56:41 PM	73
93	14798	Mar 10, 2018 9:56:42 PM	223
93	3678	Mar 10, 2018 9:56:52 PM	268
94	2387	Mar 10, 2018 10:53:18 PM	216
94	31440	Mar 10, 2018 10:53:27 PM	353
94	31948	Mar 10, 2018 10:53:39 PM	222
95	7645	Mar 10, 2018 6:42:44 AM	42
95	23284	Mar 10, 2018 6:43:35 AM	292
96	5967	Mar 10, 2018 3:03:00 PM	149
96	34692	Mar 10, 2018 3:03:11 PM	129
96	8663	Mar 10, 2018 3:03:34 PM	71
96	29465	Mar 10, 2018 3:03:38 PM	124
97	28897	Mar 10, 2018 1:50:05 PM	72
97	652	Mar 10, 2018 1:50:36 PM	308
98	41373	Mar 10, 2018 6:40:23 PM	21
98	33238	Mar 10, 2018 6:40:48 PM	125
