conv_index	question_id	label
0	5941	41
0	3480	66
0	11621	153
0	10003	238
0	19042	329
1	35315	367
1	30292	21
1	9354	367
2	23895	31
2	15133	152
2	22755	7
3	32725	36
3	22766	272
4	18677	319
4	27466	129
5	30383	367
5	21328	297
5	38410	21
5	29680	155
6	24068	217
6	450	217
6	18500	217
6	11749	66
7	34732	223
7	20359	222
7	9897	305
8	13611	268
8	22094	73
9	28335	319
9	23916	319
9	24236	285
9	8828	305
9	19773	186
9	17823	99
10	32922	260
10	2326	13
11	40026	124
11	29812	71
11	42742	129
12	8035	268
12	37727	268
13	20095	21
13	11543	91
13	8340	268
13	9281	94
13	33463	42
13	24233	194
13	31883	160
13	38554	292
13	41458	361
14	35187	319
14	10435	329
14	32269	329
14	29296	149
14	6264	329
14	9882	272
14	25600	186
14	25583	186
15	22382	280
15	3666	269
15	31079	253
16	10079	124
16	32695	260
17	23112	170
17	8686	170
18	15339	268
18	22380	153
18	4993	125
19	9297	161
19	37654	110
19	23676	125
19	19436	329
19	5078	186
20	27771	367
20	22558	80
20	21466	297
21	3162	175
21	17365	93
22	3411	91
22	14772	319
22	19067	319
22	36724	319
22	2539	153
22	34307	272
23	34691	99
23	28979	369
23	37483	93
23	15899	188
23	37920	62
23	33097	22
23	22903	110
23	30237	237
24	38452	21
24	17796	367
25	29939	216
25	28216	280
25	8854	253
25	36633	68
26	32469	110
26	18203	22
26	43773	161
27	23699	21
27	42824	153
27	10465	110
28	16250	261
28	25110	268
28	4234	217
28	16940	263
28	17660	153
28	12960	66
28	30851	349
28	30232	217
28	8310	126
28	30020	43
29	15279	68
29	5887	268
29	6184	253
29	16424	163
30	1986	361
30	3548	42
31	15369	272
31	28143	369
31	11657	91
31	30508	99
32	148	91
32	29520	206
32	26260	227
33	9413	319
33	18336	319
33	31928	155
34	2853	21
34	21429	217
34	43691	152
34	28605	261
35	36346	125
35	11120	22
36	36821	155
36	5229	308
37	43967	105
37	30276	263
37	20263	349
37	3439	362
37	29642	105
38	31085	108
38	35671	26
38	2879	26
39	13038	73
39	20792	353
39	35554	308
39	17553	223
39	1440	340
39	5853	340
39	17947	223
39	3408	223
39	9839	193
39	32002	54
39	43938	319
39	23519	340
39	28397	340
39	3950	319
39	33964	319
39	16448	149
39	16583	149
39	20619	319
40	28938	319
40	11800	319
40	17715	182
40	5746	319
41	6551	149
41	33544	155
42	2863	367
42	40837	297
43	12844	146
43	38739	126
43	2485	146
43	29776	146
43	40345	146
44	42103	258
44	29362	41
44	28604	280
44	25261	258
45	37000	319
45	10254	367
45	26876	80
45	25341	224
45	23212	89
46	13278	72
46	34007	253
46	7155	125
46	40279	23
47	5614	221
47	21096	222
48	6556	155
48	30603	99
48	21049	99
48	37232	155
49	16567	72
49	36614	223
50	37867	91
50	28151	369
50	43756	206
50	25785	340
50	26405	340
51	14640	72
51	37332	93
52	42985	268
52	23310	94
53	543	268
53	36792	319
54	2409	280
54	18676	73
55	25792	367
55	38330	80
55	34643	155
56	20185	367
56	16861	36
56	39721	211
56	1738	272
56	26861	62
56	34674	22
57	19955	353
57	19946	268
57	18671	253
58	11728	238
58	17459	63
58	33848	329
59	27551	72
59	21854	149
59	10688	94
59	10546	94
59	29045	253
59	20754	41
60	14423	369
60	41001	319
60	36375	369
61	20374	72
61	26355	110
61	27913	224
61	43185	272
62	15098	46
62	16164	253
62	639	168
62	2174	308
63	28503	7
63	5129	152
63	29386	21
63	38758	329
63	20496	261
64	14480	223
64	4715	343
65	30177	91
65	36922	256
66	22025	237
66	40873	237
66	41086	374
67	40614	328
67	25046	99
67	43280	75
67	245	369
68	19215	149
68	13524	253
68	26377	253
69	35170	72
69	21477	343
69	10940	46
70	39706	72
70	7764	261
70	30983	72
70	10684	261
71	33553	237
71	32552	160
72	604	319
72	29612	319
72	41621	319
72	4664	319
72	15826	149
72	34774	130
72	1546	319
72	28302	54
72	4717	319
72	26846	179
72	30317	98
73	31456	319
73	33733	155
73	43028	155
73	13617	155
74	29355	217
74	38959	89
74	34372	149
75	6037	92
75	16246	124
75	22008	129
76	31886	124
76	19126	36
77	30609	42
77	14499	160
77	39504	361
77	25885	63
77	30201	217
78	25794	149
78	34023	73
78	37834	41
79	19400	168
79	28992	199
79	12546	149
79	23413	84
79	17779	199
80	6922	155
80	30779	155
81	7365	308
81	35224	46
82	18870	26
82	841	73
82	38006	73
83	10104	319
83	25630	36
84	16133	72
84	28457	16
84	8864	16
85	32029	168
85	573	168
85	10647	223
85	43158	84
85	37341	328
85	5656	223
86	34687	329
86	34060	155
87	817	149
87	14222	253
88	20886	369
88	40145	91
89	40610	367
89	29581	304
89	28574	80
89	19819	367
89	7021	224
89	3022	304
89	33178	93
89	13102	272
89	7595	224
89	19385	80
89	2390	268
90	31645	367
90	43322	297
90	9597	367
90	14017	367
91	40764	75
91	37054	99
91	18322	369
91	39421	206
91	26976	319
92	20337	367
92	40419	13
92	14487	319
93	3591	353
93	27639	41
93	32458	222
93	2152	168
93	33359	73
93	14798	223
93	3678	268
94	2387	216
94	31440	353
94	31948	222
95	7645	42
95	23284	292
96	5967	129
96	34692	129
96	8663	71
96	29465	124
97	28897	72
97	652	308
98	41373	21
98	33238	125
98	39892	329
98	39711	63
98	7529	94
98	32143	22
99	4224	155
99	41979	91
99	36036	91
100	31231	165
100	31708	258
100	20282	233
101	18326	181
101	39980	25
101	21864	261
101	4805	82
102	2129	251
102	25225	129
102	22452	268
103	24499	72
103	9454	201
103	39895	71
103	24715	261
104	32337	305
104	27502	13
104	1934	149
105	31606	80
105	28249	41
105	5456	268
105	2433	272
105	14003	21
106	43932	353
106	13156	1
106	14457	260
106	35898	302
106	34851	90
106	23891	17
106	9912	261
106	36358	73
106	19213	308
107	41183	99
107	18109	99
107	37683	268
108	1686	155
108	36928	155
109	3164	353
109	17524	149
109	4021	251
109	4158	251
109	24089	305
109	13619	304
109	21289	305
109	35216	304
109	38214	165
110	7159	21
110	27100	367
111	7275	272
111	26389	199
111	20401	93
111	6901	224
112	7301	319
112	4714	319
112	35854	340
112	22344	319
112	18795	319
112	29133	236
112	34374	98
113	18419	379
113	25613	137
114	20146	367
114	22448	149
114	14892	236
115	27074	268
115	25100	36
115	29126	62
116	16294	340
116	27403	367
116	6960	125
117	34671	367
117	30568	297
118	14440	223
118	27213	308
118	20217	168
118	32366	223
118	35160	253
119	26896	80
119	304	367
119	13339	224
119	13256	89
119	28943	268
119	24993	367
120	32330	308
120	22500	223
121	28217	217
121	43424	263
121	12381	105
121	21247	238
121	12100	374
121	18261	42
122	30103	261
122	6702	71
122	16829	131
122	26958	129
122	8677	92
122	22064	150
123	27794	353
123	26999	253
123	42746	150
123	38292	261
124	8697	149
124	1802	353
124	42166	73
124	24084	68
124	22303	21
125	2719	16
125	14572	13
125	2897	155
126	6147	171
126	1560	278
126	6793	113
126	13729	356
126	1775	137
127	18323	268
127	35819	268
127	27225	216
128	11192	261
128	36762	129
128	10175	71
128	32178	92
128	41581	150
128	38712	131
128	28049	335
129	5289	150
129	23559	71
129	10135	92
129	23453	201
130	15885	72
130	21898	57
130	18678	149
130	28473	171
130	27811	149
130	4852	217
130	26223	236
131	8186	367
131	7981	297
131	8167	258
131	39450	297
132	6578	277
132	36553	91
133	19396	272
133	23834	125
133	34128	21
133	2106	130
133	29643	21
133	1902	319
134	39985	129
134	43953	129
134	21025	71
135	35520	319
135	27814	217
135	25966	105
135	8708	63
135	39700	63
135	31668	319
136	2911	165
136	27875	253
136	39697	165
136	43845	149
136	9240	165
137	25108	153
137	11089	217
137	20849	238
138	33169	73
138	4295	268
139	3372	72
139	2144	367
139	13121	367
140	34430	41
140	35985	268
141	43719	63
141	13377	21
142	24159	41
142	13526	340
142	8525	340
143	20658	42
143	28136	351
143	40678	351
143	31193	125
143	11403	292
143	35332	217
144	21279	319
144	1598	183
144	7750	268
144	23660	216
145	33407	21
145	27039	272
145	4400	224
146	2276	72
146	7199	149
146	5859	260
146	16318	166
147	38650	149
147	34283	129
147	398	26
148	37095	110
148	27666	125
148	27939	329
148	4996	94
148	32731	21
148	7761	367
148	29529	128
148	4332	36
148	41667	272
148	18766	370
149	33585	223
149	8146	223
149	345	223
149	23863	72
149	6212	319
149	24147	155
149	25679	319
149	19797	319
150	2339	73
150	3379	355
150	38966	353
151	15233	36
151	31494	62
152	41623	319
152	31398	61
152	36055	319
152	24570	217
152	3519	89
152	31130	319
152	33227	137
152	21940	98
153	14180	369
153	30830	91
154	39713	73
154	18747	73
155	35209	319
155	33783	319
155	11063	367
155	42324	319
156	10770	7
156	37403	7
157	35907	305
157	2568	222
157	7033	305
158	235	193
158	2735	21
158	6050	261
159	32	94
159	43803	155
160	20409	194
160	10018	93
161	34120	72
161	20958	278
161	26190	356
162	18572	168
162	18402	253
162	27451	68
163	23060	353
163	11090	73
163	12676	163
163	2268	253
163	33761	139
163	9067	73
164	17468	189
164	16165	149
165	36428	353
165	34232	41
166	22769	72
166	6175	224
167	34475	319
167	29983	98
167	31268	93
167	19804	319
168	5137	184
168	311	327
168	21417	286
169	8794	161
169	20079	125
169	33229	329
169	4077	94
170	22888	72
170	459	80
170	43526	297
171	10102	353
171	39269	353
172	6882	251
172	35410	223
173	11605	319
173	28808	75
174	59	223
174	7851	223
174	17661	149
174	7876	84
174	3883	221
175	3237	367
175	40115	21
175	38225	211
175	25473	367
175	39229	367
175	21421	63
176	14472	375
176	23783	295
176	11211	351
176	34317	292
177	3242	72
177	3861	256
178	13077	186
178	30995	217
178	33714	21
178	28775	263
179	17117	42
179	11158	160
180	24061	149
180	26042	149
180	8954	13
180	9039	268
180	6071	216
180	20777	165
181	9677	222
181	41144	222
182	24265	244
182	7150	222
183	29261	268
183	17261	216
184	46	319
184	40285	108
185	35399	238
185	39898	105
185	7448	263
185	19409	238
185	21400	66
186	27167	224
186	35326	62
186	42591	36
187	22643	280
187	23460	222
187	41659	70
187	15488	253
187	15435	280
187	2631	189
187	2599	269
187	17245	334
187	16007	305
187	42722	308
187	18362	223
188	4244	353
188	23311	73
188	19015	268
189	12126	268
189	5314	268
189	11791	268
190	38769	72
190	40685	161
190	38738	224
190	36041	367
191	33972	268
191	22924	355
191	12665	319
191	34809	355
192	298	168
192	39438	84
192	1286	84
193	41136	367
193	2504	319
193	30736	367
194	9849	359
194	19501	175
195	2990	153
195	381	186
195	43048	329
195	22394	272
196	17321	72
196	7310	369
196	8806	91
196	32339	93
197	2791	223
197	29943	61
198	38988	223
198	15933	223
199	24085	42
199	16283	351
200	21318	149
200	2359	23
200	18822	375
201	2426	216
201	31491	165
202	13661	72
202	6139	125
202	11899	272
203	20274	272
203	40244	277
203	8751	75
204	12302	268
204	16251	73
205	18717	57
205	18853	155
206	1257	367
206	27014	80
206	11699	224
206	13877	80
207	22701	261
207	42966	92
208	19313	155
208	35482	319
208	13718	155
209	4291	80
209	35243	99
209	2825	319
209	9093	319
209	16397	319
209	40447	75
210	32467	223
210	39943	216
210	38495	233
211	31541	222
211	23430	223
211	26812	310
212	11618	369
212	25715	206
212	3785	155
212	28642	91
212	14349	91
213	41618	94
213	6217	217
214	41662	130
214	34083	125
214	10517	272
215	703	227
215	25489	36
215	7009	369
215	19495	272
215	16847	186
216	31057	110
216	19086	367
216	4807	125
216	28125	224
216	27346	62
217	38429	105
217	24296	263
217	39124	153
217	26680	99
217	3736	268
218	13227	367
218	34262	75
219	23716	125
219	25230	63
220	1242	367
220	5808	155
221	26608	363
221	1146	155
221	41902	155
221	18273	155
222	1056	223
222	22536	308
222	14088	253
223	4439	367
223	33243	304
224	18240	155
224	31542	155
225	31142	319
